非集成业务场景清单,,,,,,,,,,,,,,,,,
序号,一级目录,二级目录,三级目录编码,三级目录,业务场景编码,明细业务场景,涉及借方科目,涉及贷方科目,业务场景说明,"对应表单名称
（主表单）","对应表单名称
（业务信息表）",支持性附件名称,表单设计单位,表单设计人,场景状态,备注,
520,销售至应收,收入确认及退回,A2_01_0001,收入确认,A20014,装卸收入（退回）,"1122001000 应收账款-应收账款
1013001000 内部存款-内部结算存款
1013003001 内部存款-总部存款-日常
1012011000 其他货币资金-加油（气）站资金
1012998000 其他货币资金-其他
1221998000 其他应收款-其他
1221005998 其他应收款-补贴款-其他
核销未清项科目",参考同名收入确认业务场景,是指企业退回提供装卸服务取得的收入,收入确认单,装卸收入确认单,,西安中心,徐丽君,正常,,
521,销售至应收,收入确认及退回,A2_01_0001,收入确认,A20015,特许经营费收入（退回）,"1122001000 应收账款-应收账款
1013001000 内部存款-内部结算存款
1013003001 内部存款-总部存款-日常
1012011000 其他货币资金-加油（气）站资金
1012998000 其他货币资金-其他
1221998000 其他应收款-其他
1221005998 其他应收款-补贴款-其他
核销未清项科目",参考同名收入确认业务场景,是指企业退回将品牌、技术、专利等授权给他人而获得的许可费或特许权使用费,收入确认单,特许经营费收入确认单,"从价计价方式明细表、
从量计价方式明细表",西安中心,郭雅莹,正常,,
522,销售至应收,收入确认及退回,A2_01_0001,收入确认,A20016,标书款收入（退回）,"1122001000 应收账款-应收账款
1013001000 内部存款-内部结算存款
1013003001 内部存款-总部存款-日常
1012011000 其他货币资金-加油（气）站资金
1012998000 其他货币资金-其他
1221998000 其他应收款-其他
1221005998 其他应收款-补贴款-其他
核销未清项科目",参考同名收入确认业务场景,是指企业退回在招投标过程中，向投标人收取的，根据招标文件的要求签署并提交的相关文档和资料的费用,收入确认单,标书款收入确认单,,西安中心,李丽杰,正常,,
523,销售至应收,收入确认及退回,A2_01_0001,收入确认,A20017,餐饮收入（退回）,"1122001000 应收账款-应收账款
1013001000 内部存款-内部结算存款
1013003001 内部存款-总部存款-日常
1012011000 其他货币资金-加油（气）站资金
1012998000 其他货币资金-其他
1221998000 其他应收款-其他
1221005998 其他应收款-补贴款-其他
核销未清项科目",参考同名收入确认业务场景,是指企业退回提供餐饮服务业务取得的收入,收入确认单,餐饮收入确认单,"零星客户就餐统计表、
团队就餐统计表",西安中心,李妍昕,正常,,
524,销售至应收,收入确认及退回,A2_01_0001,收入确认,A20018,港口码头收费收入（退回）,"1122001000 应收账款-应收账款
1013001000 内部存款-内部结算存款
1013003001 内部存款-总部存款-日常
1012011000 其他货币资金-加油（气）站资金
1012998000 其他货币资金-其他
1221998000 其他应收款-其他
1221005998 其他应收款-补贴款-其他
核销未清项科目",参考同名收入确认业务场景,指企业退回提供港口码头基础服务业务取得的收入,收入确认单,港口码头收费收入确认单,港口码头收入确认单,西安中心,徐丽君,正常,,
525,销售至应收,收入确认及退回,A2_01_0001,收入确认,A20019,罚没利得-常规罚款（退回）,"1122001000 应收账款-应收账款
1013001000 内部存款-内部结算存款
1013003001 内部存款-总部存款-日常
1012011000 其他货币资金-加油（气）站资金
1012998000 其他货币资金-其他
1221998000 其他应收款-其他
1221005998 其他应收款-补贴款-其他
核销未清项科目",参考同名收入确认业务场景,是指企业退回除逾期未退包装物没收押金外的其他各项没收和罚款,收入确认单,罚没利得表单,,成都中心,孟明翠,正常,,
526,销售至应收,收入确认及退回,A2_01_0001,收入确认,A20020,罚没利得-逾期未退包装物没收的加收押金（退回）,"1122001000 应收账款-应收账款
1013001000 内部存款-内部结算存款
1013003001 内部存款-总部存款-日常
1012011000 其他货币资金-加油（气）站资金
1012998000 其他货币资金-其他
1221998000 其他应收款-其他
1221005998 其他应收款-补贴款-其他
核销未清项科目",参考同名收入确认业务场景,是指企业退回逾期未退包装物没收的押金,收入确认单,罚没利得表单,,成都中心,孟明翠,正常,,
527,销售至应收,收入确认及退回,A2_01_0001,收入确认,A20021,捐赠利得（退回）,"1122001000 应收账款-应收账款
1013001000 内部存款-内部结算存款
1013003001 内部存款-总部存款-日常
1012011000 其他货币资金-加油（气）站资金
1012998000 其他货币资金-其他
1221998000 其他应收款-其他
1221005998 其他应收款-补贴款-其他
核销未清项科目",参考同名收入确认业务场景,是指企业退回接受捐赠产生的利得,收入确认单,捐赠利得表单,,成都中心,杨钦然,正常,,
528,销售至应收,收入确认及退回,A2_01_0001,收入确认,A20023,集团矿区补贴收入（退回）,"1122001000 应收账款-应收账款
1013001000 内部存款-内部结算存款
1013003001 内部存款-总部存款-日常
1012011000 其他货币资金-加油（气）站资金
1012998000 其他货币资金-其他
1221998000 其他应收款-其他
1221005998 其他应收款-补贴款-其他
核销未清项科目",参考同名收入确认业务场景,是指企业退回从集团公司取得的矿区补贴收入,收入确认单,集团矿区补贴收入表单,集团矿区补贴分摊明细,成都中心,赵青,正常,,
529,销售至应收,收入确认及退回,A2_01_0001,收入确认,A20024,违约赔偿收入（退回）,"1122001000 应收账款-应收账款
1013001000 内部存款-内部结算存款
1013003001 内部存款-总部存款-日常
1012011000 其他货币资金-加油（气）站资金
1012998000 其他货币资金-其他
1221998000 其他应收款-其他
1221005998 其他应收款-补贴款-其他
核销未清项科目",参考同名收入确认业务场景,是指企业退回因对方违反合同或协议而遭受的损失后，取得的赔偿利得,收入确认单,违约赔偿收入表单,,成都中心,杨钦然,正常,,
530,销售至应收,收入确认及退回,A2_01_0001,收入确认,A20025,政府奖励确认（退回）,"1122001000 应收账款-应收账款
1013001000 内部存款-内部结算存款
1013003001 内部存款-总部存款-日常
1012011000 其他货币资金-加油（气）站资金
1012998000 其他货币资金-其他
1221998000 其他应收款-其他
1221005998 其他应收款-补贴款-其他
核销未清项科目",参考同名收入确认业务场景,是指企业退回与企业日常经营业务不相关的政府奖励，该业务场景特指退回以现金形式的奖励方式所取得的收入,收入确认单,政府奖励收入表单,,大庆中心,韩雪,正常,,
531,销售至应收,收入确认及退回,A2_01_0001,收入确认,A20028,税费返还（退回）,"1122001000 应收账款-应收账款
1013001000 内部存款-内部结算存款
1013003001 内部存款-总部存款-日常
1012011000 其他货币资金-加油（气）站资金
1012998000 其他货币资金-其他
1221998000 其他应收款-其他
1221005998 其他应收款-补贴款-其他
核销未清项科目",参考同名收入确认业务场景,是指企业退回政府以税费返还形式返还给企业的经济补助,收入确认单,税费返还收入表单,,西安中心,徐丽君,正常,,
532,销售至应收,收入确认及退回,A2_01_0001,收入确认,A20029,三供一业分离移交补助（退回）,"1122001000 应收账款-应收账款
1013001000 内部存款-内部结算存款
1013003001 内部存款-总部存款-日常
1012011000 其他货币资金-加油（气）站资金
1012998000 其他货币资金-其他
1221998000 其他应收款-其他
1221005998 其他应收款-补贴款-其他
核销未清项科目",参考同名收入确认业务场景,是指企业退回国有资本经营预算安排的用于支持中央部门管理企业职工家属区“三供一业”分离移交工作补助资金,收入确认单,三供一业分离移交补助收入表单,,成都中心,胡蝶,正常,,
533,销售至应收,收入确认及退回,A2_01_0001,收入确认,A20030,政府专项补助（退回）,"1122001000 应收账款-应收账款
1013001000 内部存款-内部结算存款
1013003001 内部存款-总部存款-日常
1012011000 其他货币资金-加油（气）站资金
1012998000 其他货币资金-其他
1221998000 其他应收款-其他
1221005998 其他应收款-补贴款-其他
核销未清项科目",参考同名收入确认业务场景,是指企业退回特定用途的国家补贴收入,收入确认单,政府专项补助收入表单,,大庆中心,吴庆斌,正常,,
534,销售至应收,收入确认及退回,A2_01_0001,收入确认,A20031,政府搬迁补偿确认（退回）,"1122001000 应收账款-应收账款
1013001000 内部存款-内部结算存款
1013003001 内部存款-总部存款-日常
1012011000 其他货币资金-加油（气）站资金
1012998000 其他货币资金-其他
1221998000 其他应收款-其他
1221005998 其他应收款-补贴款-其他
核销未清项科目",参考同名收入确认业务场景,是指企业退回企业因搬迁取得的政府补偿,收入确认单,政府搬迁补偿收入表单,,大庆中心,韩雪,正常,,
535,销售至应收,收入确认及退回,A2_01_0001,收入确认,A20032,稳岗补贴收入（退回）-常规补贴,"1122001000 应收账款-应收账款
1013001000 内部存款-内部结算存款
1013003001 内部存款-总部存款-日常
1012011000 其他货币资金-加油（气）站资金
1012998000 其他货币资金-其他
1221998000 其他应收款-其他
1221005998 其他应收款-补贴款-其他
核销未清项科目",参考同名收入确认业务场景,是指退回帮助企业保持就业岗位稳定的财政补贴，用于激励企业采取有效措施稳定就业岗位，减少或避免裁员，以保障社会的就业和经济稳定性。该场景指直接确认收入的情况。,收入确认单,稳岗补贴收入表单,,成都中心,程婧,正常,,
536,销售至应收,收入确认及退回,A2_01_0001,收入确认,A20033,稳岗补贴确认（退回）,"1122001000 应收账款-应收账款
1013001000 内部存款-内部结算存款
1013003001 内部存款-总部存款-日常
1012011000 其他货币资金-加油（气）站资金
1012998000 其他货币资金-其他
1221998000 其他应收款-其他
1221005998 其他应收款-补贴款-其他
核销未清项科目",参考同名收入确认业务场景,是指退回帮助企业保持就业岗位稳定的财政补贴，用于激励企业采取有效措施稳定就业岗位，减少或避免裁员，以保障社会的就业和经济稳定性。该场景指使用以前递延收益结转方式确认收入的情况。,收入确认单,稳岗补贴收入表单,,成都中心,程婧,正常,,
